ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,geometry,L2_norm
148,54,44.940084,-93.170837,2025-02-19T21:40:58Z,-0.025124,Grand Avenue East,-0.054442,0.195492,"c(NA, NA)",0.20448048514222572
149,55,44.940082,-93.170696,2025-02-19T21:40:59Z,0.026359,Grand Avenue East,0.003157,-0.098327,"c(NA, NA)",0.1018477415508071
150,56,44.940082,-93.170555,2025-02-19T21:41:00Z,-0.407134,Grand Avenue East,-0.048505,0.166682,"c(NA, NA)",0.44259882298194153
151,57,44.940082,-93.170418,2025-02-19T21:41:01Z,-0.183416,Grand Avenue East,-0.079243,0.070818999999999993,"c(NA, NA)",0.21198163332232348
152,58,44.940081,-93.170286,2025-02-19T21:41:02Z,0.054552,Grand Avenue East,-0.005607,0.059998,"c(NA, NA)",0.08128418761973327
153,59,44.940081,-93.170152,2025-02-19T21:41:02Z,0.065816,Grand Avenue East,0.041655,-0.117594,"c(NA, NA)",0.14105046514279915
154,60,44.94008,-93.170016,2025-02-19T21:41:03Z,0.077751,Grand Avenue East,-0.029833,-0.077113,"c(NA, NA)",0.11349731564667069
155,61,44.940078,-93.169879,2025-02-19T21:41:04Z,0.15504,Grand Avenue East,0.013695,0.065779,"c(NA, NA)",0.1689728719824576
156,62,44.940078,-93.169739,2025-02-19T21:41:05Z,0.070625,Grand Avenue East,-0.202318,-0.114762,"c(NA, NA)",0.24308595268546473
157,63,44.940077,-93.1696,2025-02-19T21:41:06Z,0.339936,Grand Avenue East,0.107783,-0.028516,"c(NA, NA)",0.35775245832977864
158,64,44.940074,-93.169453,2025-02-19T21:41:07Z,0.041713,Grand Avenue East,0.138223,-0.092788,"c(NA, NA)",0.17162512940126223
159,65,44.940073,-93.169307,2025-02-19T21:41:08Z,0.111468,Grand Avenue East,8.33e-4,-0.051979,"c(NA, NA)",0.12299441188119076
160,66,44.940073,-93.169163,2025-02-19T21:41:09Z,-0.011077,Grand Avenue East,0.024714,-0.01325,"c(NA, NA)",0.030150360279771117
161,67,44.940073,-93.169017,2025-02-19T21:41:10Z,-0.06029,Grand Avenue East,0.047154,-0.032439,"c(NA, NA)",0.08313045493078937
162,68,44.940073,-93.16887,2025-02-19T21:41:11Z,-0.021134,Grand Avenue East,-0.122514,-0.082143,"c(NA, NA)",0.14900939098258204
