ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm,base_street,line_count,color
113,42,44.940078,-93.171801,2025-04-04T03:49:59Z,-0.083699,Grand Avenue East,-0.168973,0.1566,0.24511417203009703,Grand Avenue,2,#FCAE91
114,43,44.940079,-93.171656,2025-04-04T03:50:00Z,-0.143471,Grand Avenue East,0.073287,0.00949,0.16138454792823256,Grand Avenue,2,#FCAE91
115,44,44.94007,-93.171497,2025-04-04T03:50:01Z,-0.0275,Grand Avenue East,-0.248465,0.076686,0.26148011171215296,Grand Avenue,2,#FCAE91
116,45,44.940072,-93.171362,2025-04-04T03:50:02Z,-0.206869,Grand Avenue East,0.296133,0.065555,0.367133483729011,Grand Avenue,2,#FCAE91
117,46,44.940069,-93.171216,2025-04-04T03:50:03Z,-0.043605,Grand Avenue East,-0.161221,-0.041679,0.17213583562698384,Grand Avenue,2,#FCAE91
118,47,44.940074,-93.171075,2025-04-04T03:50:04Z,-0.009454,Grand Avenue East,-0.022518,0.027324,0.03664750217954833,Grand Avenue,2,#FCAE91
119,48,44.940076,-93.17093,2025-04-04T03:50:05Z,-0.016889,Grand Avenue East,0.062319,0.121981,0.1380154355244369,Grand Avenue,2,#FCAE91
120,49,44.940076,-93.170788,2025-04-04T03:50:06Z,-0.064288,Grand Avenue East,-0.19556,0.084153,0.22239241882986932,Grand Avenue,2,#FCAE91
121,50,44.940074,-93.170646,2025-04-04T03:50:07Z,-0.081689,Grand Avenue East,0.051078,0.048271,0.10775965964125907,Grand Avenue,2,#FCAE91
122,51,44.940072,-93.170509,2025-04-04T03:50:08Z,-0.033329,Grand Avenue East,-0.020929,-0.018522,0.04349608908856059,Grand Avenue,2,#FCAE91
123,52,44.940072,-93.170369,2025-04-04T03:50:09Z,0.021455,Grand Avenue East,-0.062805,-0.016523,0.06839440458838719,Grand Avenue,2,#FCAE91
